"Participant","Stimulus","Trial_Order_Phase1","Trial_Duration_Phase1","Rating_RT_Phase1","Cue_Color","Condition","Beauty","Attractiveness","Trustworthiness","Trial_Order_Phase2","Trial_Duration_Phase2","Rating_RT_Phase2","Realness","Gender","SexualOrientation","Category","Relevance"
"S045","NF-1098",20,2,4936,"blue","AI-Generated",4,3,3,1,1,1595,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1021",21,2,4511,"green","Photograph",4,3,4,1,1,1860,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1102",22,2,7049,"blue","AI-Generated",2,2,2,1,1,1828,-1,"Female","Heterosexual","Male","Relevant"
"S045","NM-1029",23,2,6833,"blue","AI-Generated",3,4,4,1,1,4311,-1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1081",24,2,6858,"green","Photograph",4,3,3,1,1,1468,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1062",25,2,5660,"green","Photograph",4,3,4,1,1,1491,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1001",26,2,4011,"blue","AI-Generated",2,2,3,1,1,2399,0,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1091",27,2,4451,"blue","AI-Generated",2,3,3,1,1,2680,-2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1093",28,2,4088,"green","Photograph",3,3,4,1,1,3215,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1010",29,2,4897,"blue","AI-Generated",2,2,2,1,1,1844,-2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1016",30,2,6285,"green","Photograph",4,4,4,1,1,6230,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1070",31,2,4458,"green","Photograph",2,2,4,1,1,1955,1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1018",32,2,5408,"green","Photograph",4,4,4,1,1,1846,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1067",33,2,3604,"blue","AI-Generated",2,2,3,1,1,9364,0,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1008",34,2,5051,"green","Photograph",4,3,4,1,1,3003,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1028",35,2,6963,"blue","AI-Generated",3,3,4,1,1,3572,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1072",36,2,5193,"blue","AI-Generated",4,5,4,1,1,3549,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1089",37,2,5972,"blue","AI-Generated",3,3,4,1,1,1679,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1051",38,2,3541,"blue","AI-Generated",2,2,3,1,1,2350,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1059",39,2,3421,"blue","AI-Generated",3,3,3,1,1,4324,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1039",40,2,4287,"blue","AI-Generated",2,2,3,1,1,1885,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1033",41,2,3873,"blue","AI-Generated",1,1,3,1,1,1619,-3,"Female","Heterosexual","Male","Relevant"
"S045","NF-1022",42,2,5676,"blue","AI-Generated",4,4,5,1,1,3249,0,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1026",43,2,3883,"blue","AI-Generated",2,2,3,1,1,1338,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1025",44,2,4254,"green","Photograph",3,3,4,1,1,2849,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1012",45,2,6338,"blue","AI-Generated",3,3,4,1,1,1358,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1064",46,2,3876,"green","Photograph",2,2,3,1,1,3395,0,"Female","Heterosexual","Male","Relevant"
"S045","NF-1034",47,2,3415,"green","Photograph",2,2,4,1,1,1754,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1023",48,2,5533,"green","Photograph",3,4,4,1,1,2861,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1092",49,2,4858,"blue","AI-Generated",2,2,3,1,1,1908,-2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1087",50,2,4029,"green","Photograph",2,2,3,1,1,2037,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1038",51,2,5071,"green","Photograph",4,4,4,1,1,1452,2,"Female","Heterosexual","Male","Relevant"
"S045","NM-1055",52,2,3095,"green","Photograph",2,2,4,1,1,1500,-2,"Female","Heterosexual","Male","Relevant"
"S045","NM-1035",53,2,4944,"green","Photograph",3,4,4,1,1,3064,1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1101",54,2,6011,"blue","AI-Generated",3,3,3,1,1,1450,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1045",55,2,5231,"green","Photograph",5,5,4,1,1,2565,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1063",56,2,5464,"blue","AI-Generated",5,5,4,1,1,2819,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1015",57,2,5944,"green","Photograph",3,3,5,1,1,2215,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1050",58,2,5455,"green","Photograph",4,3,4,1,1,1649,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1053",59,2,4198,"blue","AI-Generated",3,3,3,1,1,1601,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1046",60,2,4660,"green","Photograph",3,4,4,1,1,1866,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1095",61,2,5369,"blue","AI-Generated",3,3,3,1,1,1445,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1109",62,2,3224,"blue","AI-Generated",2,2,3,1,1,1562,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1077",63,2,7734,"blue","AI-Generated",3,3,4,1,1,1616,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1054",64,2,4801,"blue","AI-Generated",3,4,4,1,1,2465,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1004",65,2,6163,"blue","AI-Generated",3,3,5,1,1,1478,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1065",66,2,5073,"blue","AI-Generated",4,5,4,1,1,2202,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1107",67,2,10003,"green","Photograph",4,3,4,1,1,1243,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1011",68,2,6562,"green","Photograph",4,4,4,1,1,1555,-2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1068",69,2,4693,"green","Photograph",4,5,5,1,1,1765,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1031",70,2,4297,"green","Photograph",3,3,4,1,1,1371,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1047",71,2,3258,"green","Photograph",3,3,3,1,1,1642,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1002",72,2,4019,"blue","AI-Generated",2,2,3,1,1,1593,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1036",73,2,5130,"blue","AI-Generated",2,2,3,1,1,1517,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1088",74,2,5084,"blue","AI-Generated",3,3,3,1,1,1875,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1100",75,2,4259,"green","Photograph",4,4,4,1,1,2477,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1013",76,2,3504,"blue","AI-Generated",3,3,3,1,1,1481,0,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1099",77,2,5200,"blue","AI-Generated",4,4,4,1,1,3241,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1048",78,2,4096,"green","Photograph",3,3,4,1,1,2183,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1017",79,2,3476,"blue","AI-Generated",3,3,3,1,1,2335,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1085",80,2,3434,"blue","AI-Generated",3,3,4,1,1,1742,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1105",81,2,4255,"green","Photograph",4,5,5,1,1,1633,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1027",82,2,4358,"blue","AI-Generated",3,3,4,1,1,1739,-1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1069",83,2,3404,"blue","AI-Generated",2,2,3,1,1,2606,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1030",84,2,3840,"green","Photograph",3,4,4,1,1,2556,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1090",85,2,5043,"green","Photograph",3,3,4,1,1,1823,1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1005",86,2,3631,"blue","AI-Generated",3,3,4,1,1,2723,0,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1106",87,2,3701,"green","Photograph",3,3,4,1,1,3763,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1061",88,2,3475,"blue","AI-Generated",4,4,4,1,1,2602,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1103",89,2,5139,"green","Photograph",3,3,4,1,1,1593,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1056",90,2,3485,"green","Photograph",3,3,4,1,1,1773,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1058",91,2,3806,"green","Photograph",4,5,5,1,1,1186,3,"Female","Heterosexual","Male","Relevant"
"S045","NM-1074",92,2,4031,"blue","AI-Generated",4,4,4,1,1,1291,2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1083",93,2,3036,"green","Photograph",3,3,4,1,1,2651,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1041",94,2,2971,"blue","AI-Generated",3,3,4,1,1,2269,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1014",95,2,5015,"green","Photograph",3,3,5,1,1,1668,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1040",96,2,3217,"green","Photograph",3,3,4,1,1,2457,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1007",97,2,3899,"blue","AI-Generated",2,2,3,1,1,1870,-1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1071",98,2,3333,"green","Photograph",3,3,4,1,1,1131,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1019",99,2,4384,"blue","AI-Generated",3,3,3,1,1,1392,-3,"Female","Heterosexual","Male","Relevant"
"S045","NF-1073",100,2,4202,"green","Photograph",4,4,4,1,1,2990,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1042",101,2,6884,"green","Photograph",4,4,4,1,1,2111,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1032",102,2,3102,"green","Photograph",3,3,4,1,1,1304,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1096",103,2,3423,"green","Photograph",3,3,4,1,1,1887,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1080",104,2,5173,"green","Photograph",3,4,4,1,1,1955,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1110",105,2,4460,"green","Photograph",3,4,5,1,1,2031,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1079",106,2,3298,"blue","AI-Generated",2,2,3,1,1,1836,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1006",107,2,3603,"blue","AI-Generated",2,2,3,1,1,1472,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1052",108,2,3627,"green","Photograph",2,2,4,1,1,2300,2,"Female","Heterosexual","Male","Relevant"
"S045","NF-1044",109,2,5815,"blue","AI-Generated",3,3,4,1,1,5128,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1103",1,2,16140,"blue","AI-Generated",0,0,1,1,1,3003,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1071",2,2,5388,"green","Photograph",0,0,0,1,1,2475,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1009",3,2,5448,"green","Photograph",1,0,0,1,1,1958,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1020",4,2,3999,"green","Photograph",0,0,0,1,1,1277,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1046",5,2,5666,"green","Photograph",2,1,0,1,1,1298,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1107",6,2,6300,"green","Photograph",2,0,0,1,1,3092,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1093",7,2,4277,"green","Photograph",0,0,0,1,1,1872,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1099",8,2,4350,"green","Photograph",0,0,0,1,1,1275,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1091",9,2,4179,"green","Photograph",0,0,0,1,1,1395,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1056",10,2,4682,"blue","AI-Generated",1,0,1,1,1,2114,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1089",11,2,4008,"blue","AI-Generated",0,0,0,1,1,1514,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1006",12,2,4204,"green","Photograph",0,0,0,1,1,1141,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1023",13,2,8900,"blue","AI-Generated",2,1,1,1,1,1877,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1081",14,2,5619,"green","Photograph",2,1,0,1,1,1397,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1030",15,2,3902,"blue","AI-Generated",0,0,0,1,1,1677,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1035",16,2,4355,"blue","AI-Generated",0,0,0,1,1,1621,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1048",17,2,4868,"blue","AI-Generated",0,0,0,1,1,1857,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1086",18,2,5284,"blue","AI-Generated",0,0,0,1,1,1123,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1105",19,2,5956,"blue","AI-Generated",0,0,0,1,1,1776,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1065",20,2,4190,"blue","AI-Generated",2,0,0,1,1,1358,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1110",21,2,4220,"green","Photograph",0,0,0,1,1,1250,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1017",22,2,3524,"blue","AI-Generated",0,0,0,1,1,1486,3,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1055",23,2,4129,"green","Photograph",0,0,0,1,1,1529,-1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1028",24,2,4820,"green","Photograph",0,0,0,1,1,1302,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1077",25,2,3728,"blue","AI-Generated",0,0,0,1,1,2171,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1063",26,2,4501,"blue","AI-Generated",4,2,1,1,1,1541,3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1002",27,2,3351,"blue","AI-Generated",0,0,0,1,1,1335,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1024",28,2,3708,"green","Photograph",0,0,0,1,1,1572,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1022",29,2,3445,"green","Photograph",0,0,0,1,1,1362,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1084",30,2,5403,"blue","AI-Generated",1,1,0,1,1,1460,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1003",31,2,5958,"green","Photograph",0,0,0,1,1,1314,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1092",32,2,4546,"green","Photograph",0,0,0,1,1,1480,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1037",33,2,3823,"green","Photograph",1,1,0,1,1,1204,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1012",34,2,3631,"blue","AI-Generated",0,0,0,1,1,1651,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1007",35,2,4875,"green","Photograph",0,0,0,1,1,3315,-1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1069",36,2,3809,"green","Photograph",0,0,0,1,1,1526,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1052",37,2,4014,"green","Photograph",0,0,0,1,1,1896,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1060",38,2,3332,"green","Photograph",0,0,0,1,1,2042,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1090",39,2,3485,"blue","AI-Generated",0,0,0,1,1,1220,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1057",40,2,3362,"blue","AI-Generated",0,0,0,1,1,1266,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1054",41,2,4003,"blue","AI-Generated",0,0,0,1,1,1468,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1043",42,2,3686,"green","Photograph",0,0,0,1,1,1601,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1073",43,2,3819,"green","Photograph",0,0,0,1,1,1936,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1097",44,2,5253,"blue","AI-Generated",4,1,0,1,1,1452,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1042",45,2,3851,"green","Photograph",3,2,0,1,1,1678,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1036",46,2,4708,"blue","AI-Generated",0,1,0,1,1,1737,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1049",47,2,5715,"green","Photograph",3,1,3,1,1,1089,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1088",48,2,3680,"green","Photograph",0,0,0,1,1,1162,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1001",49,2,3606,"blue","AI-Generated",0,0,0,1,1,1919,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1066",50,2,4672,"green","Photograph",2,0,2,1,1,1770,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1031",51,2,3812,"green","Photograph",0,0,0,1,1,1274,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1032",52,2,3683,"blue","AI-Generated",0,0,0,1,1,1499,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1070",53,2,3961,"blue","AI-Generated",0,0,0,1,1,1453,-1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1026",54,2,4217,"blue","AI-Generated",0,0,0,1,1,1372,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1038",55,2,4329,"blue","AI-Generated",0,0,0,1,1,1539,-1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1021",56,2,3265,"green","Photograph",0,0,0,1,1,2543,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1076",57,2,3682,"green","Photograph",0,0,0,1,1,1466,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1040",58,2,4518,"blue","AI-Generated",0,0,0,1,1,1301,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1015",59,2,3886,"blue","AI-Generated",0,0,0,1,1,1743,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1085",60,2,3356,"blue","AI-Generated",0,0,0,1,1,1480,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1018",61,2,4614,"green","Photograph",0,0,0,1,1,1832,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1072",62,2,5385,"green","Photograph",3,0,0,1,1,1749,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1051",63,2,5200,"green","Photograph",0,0,0,1,1,1531,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1067",64,2,4277,"green","Photograph",0,0,0,1,1,1541,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1011",65,2,4220,"green","Photograph",0,0,0,1,1,1615,1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1004",66,2,4251,"green","Photograph",0,0,0,1,1,1907,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1100",67,2,3232,"blue","AI-Generated",0,0,0,1,1,1154,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1034",68,2,4295,"green","Photograph",0,0,0,1,1,1203,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1050",69,2,4737,"green","Photograph",4,0,1,1,1,1493,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1062",70,2,3741,"blue","AI-Generated",1,0,1,1,1,1119,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1005",71,2,3876,"green","Photograph",0,0,0,1,1,1439,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1010",72,2,4329,"blue","AI-Generated",0,0,0,1,1,2110,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1101",73,2,3878,"green","Photograph",1,0,0,1,1,1571,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1027",74,2,4662,"blue","AI-Generated",0,0,0,1,1,1286,0,"Female","Heterosexual","Male","Relevant"
"S157","NF-1059",75,2,4641,"green","Photograph",0,0,0,1,1,2129,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1033",76,2,4344,"green","Photograph",0,0,0,1,1,1789,-1,"Female","Heterosexual","Male","Relevant"
"S157","NM-1058",77,2,6533,"blue","AI-Generated",4,5,5,1,1,2331,-1,"Female","Heterosexual","Male","Relevant"
"S157","NM-1064",78,2,5972,"green","Photograph",0,0,0,1,1,1618,1,"Female","Heterosexual","Male","Relevant"
"S157","NF-1039",79,2,5492,"blue","AI-Generated",0,0,0,1,1,1297,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1080",80,2,3518,"blue","AI-Generated",3,1,0,1,1,1332,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1044",81,2,3586,"green","Photograph",0,0,0,1,1,1180,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1106",82,2,4910,"blue","AI-Generated",5,2,0,1,1,1657,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1016",83,2,3868,"blue","AI-Generated",0,0,0,1,1,1510,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1075",84,2,3879,"blue","AI-Generated",0,0,0,1,1,1271,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1082",85,2,5907,"blue","AI-Generated",0,0,0,1,1,1856,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1104",86,2,4173,"green","Photograph",0,0,0,1,1,2210,2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1045",87,2,3968,"blue","AI-Generated",3,0,0,1,1,1423,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1079",88,2,3355,"green","Photograph",0,0,0,1,1,2131,1,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1102",89,2,4542,"green","Photograph",0,0,0,1,1,1250,2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1096",90,2,4291,"blue","AI-Generated",0,0,0,1,1,1985,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1108",91,2,6438,"blue","AI-Generated",3,1,2,1,1,2804,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1013",92,2,4240,"blue","AI-Generated",0,0,0,1,1,1352,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1014",93,2,4239,"green","Photograph",0,0,0,1,1,1336,0,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1008",94,2,4190,"green","Photograph",0,0,0,1,1,1400,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1068",95,2,4036,"blue","AI-Generated",4,1,0,1,1,1832,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1025",96,2,3770,"blue","AI-Generated",0,0,0,1,1,1140,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NM-1074",97,2,3549,"blue","AI-Generated",0,0,0,1,1,1333,-2,"Female","Heterosexual","Male","Relevant"
"S157","NF-1061",98,2,5220,"blue","AI-Generated",1,0,0,1,1,1421,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1094",99,2,3567,"blue","AI-Generated",2,0,0,1,1,1720,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1098",100,2,5103,"blue","AI-Generated",2,1,1,1,1,1233,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1087",101,2,4036,"blue","AI-Generated",0,0,0,1,1,1284,-2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1053",102,2,4707,"green","Photograph",1,0,0,1,1,1352,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1041",103,2,4306,"green","Photograph",2,0,0,1,1,1497,-1,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1095",104,2,4245,"green","Photograph",1,0,0,1,1,1552,-3,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1047",105,2,4485,"green","Photograph",0,0,0,1,1,1248,2,"Female","Heterosexual","Female","Irrelevant"
"S157","NF-1083",106,2,5142,"green","Photograph",0,0,0,1,1,1435,-1,"Female","Heterosexual","Female","Irrelevant"
